Series,Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
mmwr,34877,Defl:X,8404,75.904%,2024-01-05 19:00,39684eba,mmwr/preview/ind1994_rr.html
mmwr,34393,Defl:X,8357,75.701%,2024-01-05 19:00,176cf266,mmwr/preview/ind1995_rr.html
mmwr,35959,Defl:X,8555,76.209%,2024-01-05 19:00,dd0e6faf,mmwr/preview/ind1996_rr.html
mmwr,36667,Defl:X,8754,76.126%,2024-01-05 19:00,2ef7abfa,mmwr/preview/ind1997_rr.html
mmwr,37637,Defl:X,9065,75.915%,2024-01-05 19:00,9a25fe50,mmwr/preview/ind1998_rr.html
mmwr,35166,Defl:X,8451,75.968%,2024-01-05 19:00,b7ee2db8,mmwr/indrr_1999.html
mmwr,36114,Defl:X,8720,75.854%,2024-01-05 19:00,dc234ae9,mmwr/indrr_2000.html
mmwr,38906,Defl:X,9340,75.993%,2024-01-05 19:00,94e9cad9,mmwr/indrr_2001.html
mmwr,39845,Defl:X,9727,75.588%,2024-01-05 19:00,cd5be7c6,mmwr/indrr_2002.html
mmwr,37096,Defl:X,8919,75.957%,2024-01-05 19:00,d8fa31db,mmwr/indrr_2003.html
mmwr,36784,Defl:X,8852,75.935%,2024-01-05 19:00,a482f6ab,mmwr/indrr_2004.html
mmwr,37191,Defl:X,8979,75.857%,2024-01-05 19:00,ab71c67c,mmwr/indrr_2005.html
mmwr,38354,Defl:X,9134,76.185%,2024-01-05 19:00,c7a2f566,mmwr/indrr_2006.html
mmwr,31616,Defl:X,7811,75.294%,2024-01-05 19:00,ff98d0be,mmwr/indrr_2007.html
mmwr,32848,Defl:X,8037,75.533%,2024-01-05 19:00,1fdc84ce,mmwr/indrr_2008.html
mmwr,36665,Defl:X,8787,76.034%,2024-01-05 19:00,dd8fa124,mmwr/indrr_2009.html
mmwr,36087,Defl:X,8313,76.964%,2024-01-05 19:00,3a162f10,mmwr/indrr_2010.html
mmwr,32720,Defl:X,7909,75.828%,2024-01-05 19:00,d99dec9a,mmwr/indrr_2011.html
mmwr,31793,Defl:X,7868,75.252%,2024-01-05 19:00,9ded534c,mmwr/indrr_2012.html
mmwr,34078,Defl:X,8206,75.920%,2024-01-05 19:00,eee41ce9,mmwr/indrr_2013.html
mmwr,32427,Defl:X,7886,75.681%,2024-01-05 19:00,4273ca11,mmwr/indrr_2014.html
mmwr,273438,Defl:X,93329,65.868%,2024-01-05 19:00,2fa259b2,mmwr/indrr_2015.html
mmwr,274029,Defl:X,93484,65.885%,2024-01-05 19:00,5b015959,mmwr/indrr_2016.html
mmwr,273122,Defl:X,93230,65.865%,2024-01-05 19:00,f0b96e99,mmwr/indrr_2017.html
mmwr,273757,Defl:X,93077,66.000%,2024-01-05 19:00,bdf660b0,mmwr/indrr_2018.html
mmwr,187638,Defl:X,61487,67.231%,2024-01-05 19:00,32aba2f9,mmwr/indrr_2019.html
mmwr,188920,Defl:X,61785,67.296%,2024-01-05 19:00,d0771568,mmwr/indrr_2020.html
mmwr,187880,Defl:X,61573,67.227%,2024-01-05 19:00,f6fd344e,mmwr/indrr_2021.html
mmwr,187468,Defl:X,61491,67.199%,2024-01-05 19:00,9c1aeca7,mmwr/indrr_2022.html
mmwr,188256,Defl:X,61635,67.260%,2024-01-05 19:00,78a8e6bf,mmwr/indrr_2023.html
mmwr,31002,Defl:X,7725,75.082%,2024-01-05 19:00,e1cfb976,mmwr/preview/ind1983_ss.html
mmwr,29716,Defl:X,7374,75.185%,2024-01-05 19:00,244f4cef,mmwr/preview/ind1986_ss.html
mmwr,30982,Defl:X,7719,75.086%,2024-01-05 19:00,1d2192cc,mmwr/preview/ind1988_ss.html
mmwr,29920,Defl:X,7381,75.331%,2024-01-05 19:00,b9e60351,mmwr/preview/ind1989_ss.html
mmwr,31638,Defl:X,7794,75.365%,2024-01-05 19:00,970b2caa,mmwr/preview/ind1990_ss.html
mmwr,32835,Defl:X,8138,75.215%,2024-01-05 19:00,d8d648ac,mmwr/preview/ind1993_ss.html
mmwr,30504,Defl:X,7562,75.210%,2024-01-05 19:00,5ef64013,mmwr/preview/ind1994_ss.html
mmwr,31375,Defl:X,7689,75.493%,2024-01-05 19:00,fc9d0676,mmwr/preview/ind1995_ss.html
mmwr,31671,Defl:X,7772,75.460%,2024-01-05 19:00,fb27a992,mmwr/preview/ind1996_ss.html
mmwr,32311,Defl:X,7941,75.423%,2024-01-05 19:00,030c7341,mmwr/preview/ind1997_ss.html
mmwr,31432,Defl:X,7772,75.274%,2024-01-05 19:00,a838c683,mmwr/preview/ind1998_ss.html
mmwr,33046,Defl:X,8094,75.507%,2024-01-05 19:00,d2ccec37,mmwr/indss_1999.html
mmwr,33173,Defl:X,8110,75.552%,2024-01-05 19:00,4ded7126,mmwr/indss_2000.html
mmwr,31209,Defl:X,7642,75.513%,2024-01-05 19:00,31833b95,mmwr/indss_2001.html
mmwr,33614,Defl:X,8071,75.989%,2024-01-05 19:00,7bf4626f,mmwr/indss_2002.html
mmwr,33627,Defl:X,8079,75.975%,2024-01-05 19:00,7fcc7eee,mmwr/indss_2003.html
mmwr,33059,Defl:X,7948,75.958%,2024-01-05 19:00,0864ff4b,mmwr/indss_2004.html
mmwr,32310,Defl:X,7864,75.661%,2024-01-05 19:00,4702337a,mmwr/indss_2005.html
mmwr,34682,Defl:X,8384,75.826%,2024-01-05 19:00,cffa5096,mmwr/indss_2006.html
mmwr,33822,Defl:X,8156,75.886%,2024-01-05 19:00,100f66d1,mmwr/indss_2007.html
mmwr,35359,Defl:X,8284,76.572%,2024-01-05 19:00,8236029c,mmwr/indss_2008.html
mmwr,33261,Defl:X,8095,75.662%,2024-01-05 19:00,dc334db7,mmwr/indss_2009.html
mmwr,33469,Defl:X,8004,76.085%,2024-01-05 19:00,c6adb0f7,mmwr/indss_2010.html
mmwr,35818,Defl:X,8533,76.177%,2024-01-05 19:00,8edd98cf,mmwr/indss_2011.html
mmwr,33004,Defl:X,7950,75.912%,2024-01-05 19:00,ecdf7e7f,mmwr/indss_2012.html
mmwr,32843,Defl:X,7943,75.815%,2024-01-05 19:00,07541cff,mmwr/indss_2013.html
mmwr,35659,Defl:X,8434,76.348%,2024-01-05 19:00,701ea62a,mmwr/indss_2014.html
mmwr,37047,Defl:X,9380,74.681%,2024-01-05 19:00,40b2bc71,mmwr/indss_2015.html
mmwr,277224,Defl:X,94225,66.011%,2024-01-05 19:00,0c2131d1,mmwr/indss_2016.html
mmwr,283496,Defl:X,95608,66.275%,2024-01-05 19:00,8b8979c7,mmwr/indss_2017.html
mmwr,277044,Defl:X,94069,66.045%,2024-01-05 19:00,029dabce,mmwr/indss_2018.html
mmwr,189140,Defl:X,61847,67.301%,2024-01-05 19:00,9a9e6c74,mmwr/indss_2019.html
mmwr,188747,Defl:X,61774,67.272%,2024-01-05 19:00,c3585c62,mmwr/indss_2020.html
mmwr,189237,Defl:X,61866,67.308%,2024-01-05 19:00,397dad11,mmwr/indss_2021.html
mmwr,188795,Defl:X,61754,67.290%,2024-01-05 19:00,3c89c3ed,mmwr/indss_2022.html
mmwr,189095,Defl:X,61976,67.225%,2024-01-05 19:00,7b0cf7b7,mmwr/indss_2023.html
mmwr,29319,Defl:X,7200,75.443%,2024-01-05 19:00,1f97eb3c,mmwr/preview/ind1985_su.html
mmwr,29356,Defl:X,7219,75.409%,2024-01-05 19:00,1c00d231,mmwr/preview/ind1986_su.html
mmwr,29781,Defl:X,7339,75.357%,2024-01-05 19:00,35f5e1c4,mmwr/preview/ind1987_su.html
mmwr,30977,Defl:X,7660,75.272%,2024-01-05 19:00,9e696ede,mmwr/preview/ind1988_su.html
mmwr,31037,Defl:X,7669,75.291%,2024-01-05 19:00,281db4c7,mmwr/preview/ind1989_su.html
mmwr,29509,Defl:X,7265,75.380%,2024-01-05 19:00,d1b2abfc,mmwr/preview/ind1999_su.html
mmwr,29692,Defl:X,7325,75.330%,2024-01-05 19:00,1e8b6bc2,mmwr/preview/ind2003_su.html
mmwr,29402,Defl:X,7242,75.369%,2024-01-05 19:00,fa144c9d,mmwr/preview/ind2004_su.html
mmwr,29407,Defl:X,7241,75.377%,2024-01-05 19:00,668ca3be,mmwr/preview/ind2005_su.html
mmwr,32060,Defl:X,7999,75.050%,2024-01-05 19:00,3a634fd7,mmwr/preview/ind2006_su.html
mmwr,35719,Defl:X,8688,75.677%,2024-01-05 19:00,d5b0d3ab,mmwr/preview/ind2011_su.html
mmwr,34801,Defl:X,8470,75.662%,2024-01-05 19:00,ce66fcfb,mmwr/preview/ind2012_su.html
mmwr,35440,Defl:X,8518,75.965%,2024-01-05 19:00,d370f0d7,mmwr/preview/ind2013_su.html
mmwr,35967,Defl:X,8892,75.277%,2024-01-05 19:00,1435f86c,mmwr/preview/ind2014_su.html
mmwr,30025,Defl:X,7362,75.480%,2024-01-05 19:00,09260eed,mmwr/preview/ind2015_su.html
mmwr,191323,Defl:X,62578,67.292%,2024-01-05 19:00,31ff172d,mmwr/ind2016_su.html
mmwr,188084,Defl:X,61752,67.168%,2024-01-05 19:00,838baa90,mmwr/ind2020_su.html
mmwr,187642,Defl:X,61370,67.294%,2024-01-05 19:00,45ccdfde,mmwr/ind2022_su.html
mmwr,187832,Defl:X,61430,67.295%,2024-01-05 19:00,92e57dc9,mmwr/ind2023_su.html
mmwr,23677,Defl:X,7664,67.631%,2024-01-05 19:00,031887a1,mmwr/preview/mmwrhtml/00000195.htm
mmwr,22029,Defl:X,7309,66.821%,2024-01-05 19:00,e3b9ff82,mmwr/preview/mmwrhtml/00000196.htm
mmwr,14802,Defl:X,4198,71.639%,2024-01-05 19:00,92309f0d,mmwr/preview/mmwrhtml/00000197.htm
mmwr,15352,Defl:X,4430,71.144%,2024-01-05 19:00,cb6484fb,mmwr/preview/mmwrhtml/00000198.htm
mmwr,14098,Defl:X,3918,72.209%,2024-01-05 19:00,6393293f,mmwr/preview/mmwrhtml/00000199.htm
mmwr,14581,Defl:X,4132,71.662%,2024-01-05 19:00,c40c60aa,mmwr/preview/mmwrhtml/00000200.htm
mmwr,20257,Defl:X,6287,68.964%,2024-01-05 19:00,f34388da,mmwr/preview/mmwrhtml/00000201.htm
mmwr,16814,Defl:X,5120,69.549%,2024-01-05 19:00,107e437e,mmwr/preview/mmwrhtml/00000202.htm
mmwr,15481,Defl:X,4484,71.035%,2024-01-05 19:00,1f17dc2b,mmwr/preview/mmwrhtml/00000203.htm
mmwr,18761,Defl:X,5979,68.131%,2024-01-05 19:00,28dd4ba9,mmwr/preview/mmwrhtml/00000204.htm
mmwr,14309,Defl:X,3975,72.220%,2024-01-05 19:00,b74f539b,mmwr/preview/mmwrhtml/00000205.htm
mmwr,22442,Defl:X,7040,68.630%,2024-01-05 19:00,399bc827,mmwr/preview/mmwrhtml/00000206.htm
mmwr,19676,Defl:X,6352,67.717%,2024-01-05 19:00,3431dcd5,mmwr/preview/mmwrhtml/00000207.htm
mmwr,18856,Defl:X,6111,67.591%,2024-01-05 19:00,51e3367e,mmwr/preview/mmwrhtml/00000208.htm
mmwr,18508,Defl:X,5767,68.841%,2024-01-05 19:00,827bd8f1,mmwr/preview/mmwrhtml/00000209.htm
mmwr,15922,Defl:X,4657,70.751%,2024-01-05 19:00,23371b0a,mmwr/preview/mmwrhtml/00000210.htm
mmwr,20040,Defl:X,6502,67.555%,2024-01-05 19:00,4ea0f711,mmwr/preview/mmwrhtml/00000211.htm
mmwr,19895,Defl:X,6357,68.047%,2024-01-05 19:00,ef5b834b,mmwr/preview/mmwrhtml/00000212.htm
mmwr,19397,Defl:X,6203,68.021%,2024-01-05 19:00,9f45d09f,mmwr/preview/mmwrhtml/00000213.htm
mmwr,16176,Defl:X,4860,69.955%,2024-01-05 19:00,129312ca,mmwr/preview/mmwrhtml/00000214.htm
mmwr,18855,Defl:X,5949,68.449%,2024-01-05 19:00,d35af197,mmwr/preview/mmwrhtml/00000215.htm
mmwr,18499,Defl:X,5667,69.366%,2024-01-05 19:00,2e33e0b9,mmwr/preview/mmwrhtml/00000216.htm
mmwr,15725,Defl:X,4627,70.576%,2024-01-05 19:00,5f1eb658,mmwr/preview/mmwrhtml/00000217.htm
mmwr,19488,Defl:X,6104,68.678%,2024-01-05 19:00,4bbbeb26,mmwr/preview/mmwrhtml/00000218.htm
mmwr,15563,Defl:X,4572,70.623%,2024-01-05 19:00,fd435815,mmwr/preview/mmwrhtml/00000219.htm
mmwr,19186,Defl:X,6150,67.945%,2024-01-05 19:00,afd001f0,mmwr/preview/mmwrhtml/00000220.htm
mmwr,15055,Defl:X,4310,71.372%,2024-01-05 19:00,62be31a8,mmwr/preview/mmwrhtml/00000221.htm
mmwr,19065,Defl:X,6141,67.789%,2024-01-05 19:00,971b515e,mmwr/preview/mmwrhtml/00000222.htm
mmwr,20729,Defl:X,6625,68.040%,2024-01-05 19:00,bd92fa19,mmwr/preview/mmwrhtml/00000223.htm
mmwr,16857,Defl:X,5152,69.437%,2024-01-05 19:00,8a24cb88,mmwr/preview/mmwrhtml/00000224.htm
mmwr,16690,Defl:X,5023,69.904%,2024-01-05 19:00,c7548d5d,mmwr/preview/mmwrhtml/00000225.htm
mmwr,16793,Defl:X,5223,68.898%,2024-01-05 19:00,26740d62,mmwr/preview/mmwrhtml/00000226.htm
mmwr,19348,Defl:X,6033,68.818%,2024-01-05 19:00,3655ec82,mmwr/preview/mmwrhtml/00000227.htm
mmwr,16709,Defl:X,4969,70.262%,2024-01-05 19:00,ea0a799e,mmwr/preview/mmwrhtml/00000228.htm
mmwr,17769,Defl:X,5258,70.409%,2024-01-05 19:00,d571d887,mmwr/preview/mmwrhtml/00000229.htm
mmwr,14757,Defl:X,4177,71.695%,2024-01-05 19:00,33aaab68,mmwr/preview/mmwrhtml/00000230.htm
mmwr,17380,Defl:X,5457,68.602%,2024-01-05 19:00,a6324eb9,mmwr/preview/mmwrhtml/00000231.htm
mmwr,20824,Defl:X,6830,67.201%,2024-01-05 19:00,459774e6,mmwr/preview/mmwrhtml/00000232.htm
mmwr,14584,Defl:X,4138,71.626%,2024-01-05 19:00,92a0f9a9,mmwr/preview/mmwrhtml/00000233.htm
mmwr,16473,Defl:X,4873,70.418%,2024-01-05 19:00,3ea31109,mmwr/preview/mmwrhtml/00000234.htm
mmwr,15163,Defl:X,4347,71.332%,2024-01-05 19:00,9d172fcc,mmwr/preview/mmwrhtml/00000235.htm
mmwr,23470,Defl:X,7814,66.706%,2024-01-05 19:00,f50b2f97,mmwr/preview/mmwrhtml/00000236.htm
mmwr,19733,Defl:X,6444,67.344%,2024-01-05 19:00,fd584d93,mmwr/preview/mmwrhtml/00000237.htm
mmwr,17222,Defl:X,5202,69.794%,2024-01-05 19:00,b7ba58c7,mmwr/preview/mmwrhtml/00000238.htm
mmwr,22874,Defl:X,7511,67.164%,2024-01-05 19:00,5c8b7056,mmwr/preview/mmwrhtml/00000239.htm
mmwr,15945,Defl:X,4686,70.611%,2024-01-05 19:00,5796898d,mmwr/preview/mmwrhtml/00000240.htm
mmwr,19684,Defl:X,6229,68.355%,2024-01-05 19:00,ccdec29a,mmwr/preview/mmwrhtml/00000241.htm
mmwr,13921,Defl:X,3768,72.933%,2024-01-05 19:00,40470185,mmwr/preview/mmwrhtml/00000242.htm
mmwr,23619,Defl:X,7512,68.195%,2024-01-05 19:00,7596dab7,mmwr/preview/mmwrhtml/00000243.htm
mmwr,15400,Defl:X,4494,70.818%,2024-01-05 19:00,c3d57688,mmwr/preview/mmwrhtml/00000244.htm
mmwr,18323,Defl:X,5641,69.214%,2024-01-05 19:00,f56d2f21,mmwr/preview/mmwrhtml/00000245.htm
mmwr,20146,Defl:X,6501,67.731%,2024-01-05 19:00,d795cfa3,mmwr/preview/mmwrhtml/00000246.htm
mmwr,18546,Defl:X,5779,68.840%,2024-01-05 19:00,66482049,mmwr/preview/mmwrhtml/00000247.htm
mmwr,20632,Defl:X,6603,67.996%,2024-01-05 19:00,f1b6e90e,mmwr/preview/mmwrhtml/00000248.htm
mmwr,19145,Defl:X,5998,68.671%,2024-01-05 19:00,509a50ad,mmwr/preview/mmwrhtml/00000249.htm
mmwr,19256,Defl:X,5816,69.796%,2024-01-05 19:00,3919ce94,mmwr/preview/mmwrhtml/00000250.htm
mmwr,21478,Defl:X,7189,66.529%,2024-01-05 19:00,61defb08,mmwr/preview/mmwrhtml/00000251.htm
mmwr,50887,Defl:X,16743,67.098%,2024-01-05 19:00,7445026a,mmwr/preview/mmwrhtml/00001090.htm
mmwr,17496,Defl:X,5310,69.650%,2024-01-05 19:00,7050f4ba,mmwr/preview/mmwrhtml/00001091.htm
mmwr,23275,Defl:X,7639,67.179%,2024-01-05 19:00,bd504674,mmwr/preview/mmwrhtml/00001092.htm
mmwr,15088,Defl:X,4349,71.176%,2024-01-05 19:00,dde66430,mmwr/preview/mmwrhtml/00001093.htm
mmwr,19251,Defl:X,6072,68.459%,2024-01-05 19:00,ae5531eb,mmwr/preview/mmwrhtml/00001094.htm
mmwr,21092,Defl:X,6855,67.500%,2024-01-05 19:00,f4082bb0,mmwr/preview/mmwrhtml/00001095.htm
mmwr,22417,Defl:X,7280,67.525%,2024-01-05 19:00,1b0de2e6,mmwr/preview/mmwrhtml/00001096.htm
mmwr,16789,Defl:X,5225,68.878%,2024-01-05 19:00,e9159358,mmwr/preview/mmwrhtml/00001097.htm
mmwr,21299,Defl:X,6894,67.632%,2024-01-05 19:00,141c20f8,mmwr/preview/mmwrhtml/00001098.htm
mmwr,14488,Defl:X,4083,71.818%,2024-01-05 19:00,fc026764,mmwr/preview/mmwrhtml/00001099.htm
mmwr,19889,Defl:X,6447,67.585%,2024-01-05 19:00,7d6a99c2,mmwr/preview/mmwrhtml/00001100.htm
mmwr,22193,Defl:X,7006,68.431%,2024-01-05 19:00,8367e9df,mmwr/preview/mmwrhtml/00001101.htm
mmwr,18146,Defl:X,5698,68.599%,2024-01-05 19:00,dbaf2137,mmwr/preview/mmwrhtml/00001102.htm
mmwr,15692,Defl:X,4685,70.144%,2024-01-05 19:00,c884c6cd,mmwr/preview/mmwrhtml/00001103.htm
mmwr,24353,Defl:X,8059,66.908%,2024-01-05 19:00,c00f055f,mmwr/preview/mmwrhtml/00001104.htm
mmwr,17966,Defl:X,5459,69.615%,2024-01-05 19:00,de0c5a4b,mmwr/preview/mmwrhtml/00001105.htm
mmwr,20808,Defl:X,6771,67.460%,2024-01-05 19:00,afa6c80e,mmwr/preview/mmwrhtml/00001106.htm
mmwr,18796,Defl:X,6053,67.796%,2024-01-05 19:00,9d7cbd84,mmwr/preview/mmwrhtml/00001107.htm
mmwr,18256,Defl:X,5575,69.462%,2024-01-05 19:00,06de81b1,mmwr/preview/mmwrhtml/00001108.htm
mmwr,20792,Defl:X,6784,67.372%,2024-01-05 19:00,aaaa5f87,mmwr/preview/mmwrhtml/00001109.htm
mmwr,20844,Defl:X,6449,69.061%,2024-01-05 19:00,26c83cbb,mmwr/preview/mmwrhtml/00001110.htm
mmwr,17878,Defl:X,5467,69.421%,2024-01-05 19:00,5a529fd1,mmwr/preview/mmwrhtml/00001111.htm
mmwr,25018,Defl:X,8268,66.952%,2024-01-05 19:00,d955d132,mmwr/preview/mmwrhtml/00041848.htm
mmwr,14476,Defl:X,4101,71.670%,2024-01-05 19:00,65d9f368,mmwr/preview/mmwrhtml/00001112.htm
mmwr,21571,Defl:X,6727,68.815%,2024-01-05 19:00,e73dda84,mmwr/preview/mmwrhtml/00001114.htm
mmwr,20765,Defl:X,6648,67.985%,2024-01-05 19:00,9c776348,mmwr/preview/mmwrhtml/00001115.htm
mmwr,34890,Defl:X,11683,66.515%,2024-01-05 19:00,c9001dfd,mmwr/preview/mmwrhtml/00001116.htm
mmwr,20964,Defl:X,6643,68.312%,2024-01-05 19:00,979ae5e6,mmwr/preview/mmwrhtml/00001117.htm
mmwr,23654,Defl:X,7648,67.667%,2024-01-05 19:00,0102a33c,mmwr/preview/mmwrhtml/00001118.htm
mmwr,23237,Defl:X,7558,67.474%,2024-01-05 19:00,30556245,mmwr/preview/mmwrhtml/00001119.htm
mmwr,22312,Defl:X,7038,68.456%,2024-01-05 19:00,01c77f2c,mmwr/preview/mmwrhtml/00001120.htm
mmwr,17466,Defl:X,5390,69.140%,2024-01-05 19:00,ed016ea8,mmwr/preview/mmwrhtml/00001121.htm
mmwr,28372,Defl:X,9625,66.076%,2024-01-05 19:00,903370e4,mmwr/preview/mmwrhtml/00001122.htm
mmwr,24836,Defl:X,8284,66.645%,2024-01-05 19:00,68ac01e8,mmwr/preview/mmwrhtml/00001123.htm
mmwr,16059,Defl:X,4664,70.957%,2024-01-05 19:00,ad181891,mmwr/preview/mmwrhtml/00001124.htm
mmwr,14552,Defl:X,4118,71.701%,2024-01-05 19:00,8dee3d22,mmwr/preview/mmwrhtml/00001125.htm
mmwr,21544,Defl:X,7083,67.123%,2024-01-05 19:00,6dd1ae2c,mmwr/preview/mmwrhtml/00001126.htm
mmwr,18816,Defl:X,6102,67.570%,2024-01-05 19:00,89178009,mmwr/preview/mmwrhtml/00015561.htm
mmwr,15272,Defl:X,4397,71.209%,2024-01-05 19:00,0f5c3913,mmwr/preview/mmwrhtml/00001128.htm
mmwr,17851,Defl:X,5514,69.111%,2024-01-05 19:00,7f519b33,mmwr/preview/mmwrhtml/00001129.htm
mmwr,17376,Defl:X,5249,69.792%,2024-01-05 19:00,606447fd,mmwr/preview/mmwrhtml/00001130.htm
mmwr,16009,Defl:X,4722,70.504%,2024-01-05 19:00,9f7fc463,mmwr/preview/mmwrhtml/00001131.htm
mmwr,16192,Defl:X,4685,71.066%,2024-01-05 19:00,daf49314,mmwr/preview/mmwrhtml/00001132.htm
mmwr,17059,Defl:X,5269,69.113%,2024-01-05 19:00,38ae1ca4,mmwr/preview/mmwrhtml/00001133.htm
mmwr,17900,Defl:X,5660,68.380%,2024-01-05 19:00,97ebc1ea,mmwr/preview/mmwrhtml/00001134.htm
mmwr,20762,Defl:X,7071,65.943%,2024-01-05 19:00,d5f196bf,mmwr/preview/mmwrhtml/00001135.htm
mmwr,18742,Defl:X,6171,67.074%,2024-01-05 19:00,853a5e33,mmwr/preview/mmwrhtml/00001136.htm
mmwr,14323,Defl:X,4018,71.947%,2024-01-05 19:00,b46ea9e1,mmwr/preview/mmwrhtml/00001137.htm
